id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Scissors;-1968.0;-16100.0;5020.0;-1984.0;974.0;-620.0;0
1;Merlin;Scissors;-568.0;-16408.0;5720.0;-2000.0;-107.0;106.0;104
2;Merlin;Scissors;-1028.0;-15452.0;3076.0;-1984.0;1774.0;-69.0;207
3;Merlin;Scissors;-376.0;-15048.0;4228.0;-1968.0;5303.0;-2524.0;311
4;Merlin;Scissors;376.0;-14944.0;9092.0;-2000.0;4849.0;-671.0;414
5;Merlin;Scissors;-704.0;-15360.0;7844.0;-1968.0;4758.0;2572.0;517
6;Merlin;Scissors;-1672.0;-14640.0;8464.0;-1968.0;3755.0;-952.0;621
7;Merlin;Scissors;-1768.0;-13692.0;10272.0;-1984.0;5756.0;42.0;724
8;Merlin;Scissors;-3460.0;-13156.0;11300.0;-1984.0;4923.0;-1201.0;828
9;Merlin;Scissors;-2764.0;-12072.0;13912.0;-1952.0;4293.0;-668.0;931
10;Merlin;Scissors;-1688.0;-11288.0;15404.0;-2000.0;5029.0;-849.0;1035
11;Merlin;Scissors;-4432.0;-10352.0;17748.0;-2000.0;6046.0;968.0;1138
12;Merlin;Scissors;-2320.0;-9004.0;14508.0;-1968.0;5966.0;609.0;1241
13;Merlin;Scissors;-4492.0;-7384.0;17556.0;-1968.0;6918.0;1139.0;1345
14;Merlin;Scissors;-3996.0;-6028.0;16592.0;-1984.0;5981.0;-1189.0;1448
15;Merlin;Scissors;-3400.0;-4580.0;18816.0;-1968.0;6203.0;-744.0;1552
16;Merlin;Scissors;-3644.0;-3164.0;20768.0;-2000.0;5602.0;-2105.0;1655
17;Merlin;Scissors;-2088.0;-1460.0;17172.0;-2016.0;6173.0;-1100.0;1759
18;Merlin;Scissors;-3148.0;244.0;20576.0;-1984.0;6420.0;-16.0;1862
19;Merlin;Scissors;-4392.0;1708.0;23072.0;-1984.0;5673.0;110.0;1965
20;Merlin;Scissors;-2480.0;2952.0;20460.0;-2016.0;3598.0;-1516.0;2069
21;Merlin;Scissors;-2508.0;3656.0;21520.0;-2016.0;3354.0;252.0;2172
22;Merlin;Scissors;-3648.0;4168.0;22224.0;-2016.0;2787.0;99.0;2276
23;Merlin;Scissors;-4316.0;4716.0;21860.0;-1984.0;1978.0;403.0;2379
24;Merlin;Scissors;-2944.0;5068.0;19876.0;-2000.0;852.0;-219.0;2482
25;Merlin;Scissors;-2292.0;5052.0;19120.0;-2000.0;937.0;-805.0;2586
26;Merlin;Scissors;-1268.0;5352.0;18916.0;-2000.0;-52.0;-212.0;2688
27;Merlin;Scissors;-2444.0;5484.0;20016.0;-1968.0;-198.0;559.0;2792
28;Merlin;Scissors;-2124.0;5768.0;20216.0;-1968.0;-39.0;248.0;2895
29;Merlin;Scissors;-2596.0;5660.0;20148.0;-1984.0;-114.0;328.0;2999
30;Merlin;Scissors;-2148.0;5796.0;19392.0;-1984.0;79.0;477.0;3102
31;Merlin;Scissors;-1764.0;5892.0;18712.0;-1984.0;-240.0;150.0;3205
32;Merlin;Scissors;-2208.0;5868.0;20400.0;-2016.0;-407.0;218.0;3309
33;Merlin;Scissors;-2876.0;5936.0;20732.0;-1984.0;-913.0;410.0;3412
34;Merlin;Scissors;-2480.0;6088.0;21176.0;-2000.0;-1506.0;217.0;3516
35;Merlin;Scissors;-2652.0;5960.0;21332.0;-1984.0;-2122.0;317.0;3619
