id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Paper;1748.0;-180.0;20396.0;-1888.0;-582.0;-1271.0;0
1;Merlin;Paper;2768.0;-316.0;21576.0;-1920.0;-1542.0;-4010.0;103
2;Merlin;Paper;4076.0;-600.0;19900.0;-1904.0;-2887.0;-7136.0;206
3;Merlin;Paper;5368.0;-804.0;19984.0;-1920.0;-1350.0;-6848.0;310
4;Merlin;Paper;5996.0;-952.0;19164.0;-1920.0;-1028.0;-3079.0;413
5;Merlin;Paper;6068.0;-944.0;20628.0;-1904.0;-231.0;-798.0;517
6;Merlin;Paper;6904.0;-740.0;19268.0;-1936.0;-393.0;-76.0;620
7;Merlin;Paper;6356.0;-792.0;19180.0;-1904.0;-290.0;889.0;724
8;Merlin;Paper;6332.0;-576.0;19988.0;-1936.0;-779.0;296.0;827
9;Merlin;Paper;6256.0;-760.0;20692.0;-1936.0;-686.0;-258.0;930
10;Merlin;Paper;6052.0;-728.0;19864.0;-1904.0;68.0;456.0;1034
11;Merlin;Paper;7016.0;-756.0;19300.0;-1904.0;-229.0;213.0;1137
12;Merlin;Paper;6852.0;-680.0;19864.0;-1872.0;-682.0;169.0;1241
13;Merlin;Paper;6348.0;-560.0;20388.0;-1920.0;54.0;3355.0;1344
14;Merlin;Paper;4536.0;40.0;21084.0;-1936.0;1932.0;10871.0;1447
15;Merlin;Paper;1512.0;180.0;22540.0;-1920.0;-469.0;15688.0;1551
16;Merlin;Paper;-1148.0;724.0;21048.0;-1936.0;-328.0;11432.0;1654
17;Merlin;Paper;-2676.0;620.0;19728.0;-1904.0;-210.0;6749.0;1758
18;Merlin;Paper;-4996.0;972.0;19856.0;-1904.0;-614.0;7289.0;1861
19;Merlin;Paper;-5076.0;724.0;20172.0;-1888.0;-1132.0;5653.0;1965
20;Merlin;Paper;-8692.0;836.0;21064.0;-1920.0;-2318.0;4224.0;2068
21;Merlin;Paper;-8240.0;672.0;17504.0;-1872.0;-2991.0;5138.0;2171
22;Merlin;Paper;-7820.0;448.0;18048.0;-1936.0;-3294.0;4945.0;2275
23;Merlin;Paper;-10316.0;360.0;16416.0;-1936.0;-3492.0;3807.0;2379
24;Merlin;Paper;-11048.0;336.0;16164.0;-1888.0;-4015.0;2791.0;2483
25;Merlin;Paper;-12108.0;260.0;15212.0;-1904.0;-3908.0;2500.0;2586
26;Merlin;Paper;-11084.0;240.0;13340.0;-1888.0;-4316.0;1608.0;2690
27;Merlin;Paper;-12052.0;404.0;14960.0;-1888.0;-3979.0;1243.0;2793
28;Merlin;Paper;-11364.0;316.0;14988.0;-1904.0;-3850.0;1726.0;2896
29;Merlin;Paper;-12280.0;560.0;13364.0;-1936.0;-4128.0;1562.0;3000
30;Merlin;Paper;-12372.0;384.0;13424.0;-1920.0;-3653.0;854.0;3103
31;Merlin;Paper;-12572.0;540.0;12760.0;-1904.0;-3099.0;1315.0;3207
32;Merlin;Paper;-13408.0;932.0;12316.0;-1936.0;-3177.0;940.0;3310
33;Merlin;Paper;-13312.0;880.0;13812.0;-1920.0;-3553.0;-51.0;3414
34;Merlin;Paper;-13760.0;904.0;12676.0;-1888.0;-2922.0;-274.0;3517
35;Merlin;Paper;-13588.0;992.0;13236.0;-1904.0;-2508.0;-551.0;3620
36;Merlin;Paper;-14248.0;1248.0;13020.0;-1904.0;-1865.0;-1219.0;3724
37;Merlin;Paper;-13120.0;1092.0;13212.0;-1920.0;-1514.0;-971.0;3827
38;Merlin;Paper;-13236.0;988.0;13676.0;-1936.0;-1129.0;-3041.0;3932
