id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Scissors;-772.0;-16484.0;3492.0;-1984.0;-972.0;45.0;0
1;Merlin;Scissors;-1380.0;-16576.0;3084.0;-2000.0;-928.0;-141.0;104
2;Merlin;Scissors;-1244.0;-16292.0;3316.0;-2016.0;-623.0;-507.0;207
3;Merlin;Scissors;-864.0;-16364.0;3464.0;-2016.0;-576.0;-905.0;311
4;Merlin;Scissors;-600.0;-16388.0;2340.0;-1984.0;-539.0;-2694.0;414
5;Merlin;Scissors;2704.0;-15952.0;40.0;-1984.0;503.0;-6709.0;518
6;Merlin;Scissors;-400.0;-15812.0;2640.0;-1984.0;3311.0;-1063.0;621
7;Merlin;Scissors;-2536.0;-15812.0;4876.0;-1968.0;2726.0;-1135.0;724
8;Merlin;Scissors;400.0;-15884.0;7012.0;-2000.0;2825.0;-2157.0;828
9;Merlin;Scissors;-608.0;-15244.0;6420.0;-2016.0;3594.0;-1223.0;931
10;Merlin;Scissors;-944.0;-14960.0;7768.0;-2016.0;3372.0;-2048.0;1035
11;Merlin;Scissors;192.0;-15264.0;11000.0;-2016.0;3808.0;398.0;1138
12;Merlin;Scissors;-4204.0;-14692.0;10648.0;-2000.0;2894.0;-1116.0;1242
13;Merlin;Scissors;-1152.0;-13736.0;8108.0;-2000.0;4278.0;-129.0;1345
14;Merlin;Scissors;-2796.0;-13268.0;13472.0;-2000.0;4780.0;-437.0;1448
15;Merlin;Scissors;-2944.0;-12872.0;14120.0;-1984.0;4718.0;-893.0;1552
16;Merlin;Scissors;-3864.0;-11892.0;16156.0;-2016.0;4105.0;-944.0;1655
17;Merlin;Scissors;-3156.0;-11052.0;12920.0;-2000.0;4238.0;-151.0;1759
18;Merlin;Scissors;-2144.0;-9980.0;16200.0;-1984.0;4281.0;-745.0;1862
19;Merlin;Scissors;-4240.0;-9368.0;18688.0;-1984.0;5419.0;-483.0;1966
20;Merlin;Scissors;-2656.0;-8196.0;15696.0;-1984.0;4636.0;-364.0;2069
21;Merlin;Scissors;-3224.0;-7060.0;16932.0;-2000.0;5440.0;-433.0;2173
22;Merlin;Scissors;-3084.0;-5892.0;20496.0;-2000.0;5106.0;-1907.0;2277
23;Merlin;Scissors;-2572.0;-4700.0;19008.0;-2000.0;4678.0;-408.0;2380
24;Merlin;Scissors;-2252.0;-3248.0;18512.0;-2016.0;4579.0;-233.0;2484
25;Merlin;Scissors;-3100.0;-2328.0;20088.0;-1984.0;6463.0;612.0;2587
26;Merlin;Scissors;-1496.0;-632.0;20304.0;-2016.0;4586.0;804.0;2691
27;Merlin;Scissors;-1960.0;520.0;20508.0;-1984.0;3389.0;582.0;2793
28;Merlin;Scissors;-2560.0;1120.0;21960.0;-1984.0;3325.0;239.0;2896
29;Merlin;Scissors;-3884.0;1688.0;21048.0;-1984.0;2701.0;-696.0;3000
30;Merlin;Scissors;-3592.0;2212.0;22808.0;-2032.0;2223.0;72.0;3103
31;Merlin;Scissors;-3452.0;2964.0;20840.0;-2000.0;1808.0;-180.0;3207
32;Merlin;Scissors;-2244.0;3308.0;21544.0;-2000.0;632.0;29.0;3310
33;Merlin;Scissors;-2656.0;3604.0;20652.0;-2000.0;915.0;258.0;3413
34;Merlin;Scissors;-2896.0;3760.0;19252.0;-2000.0;483.0;844.0;3517
35;Merlin;Scissors;-2616.0;4032.0;20384.0;-2000.0;315.0;665.0;3620
36;Merlin;Scissors;-3388.0;4272.0;20536.0;-2000.0;-306.0;70.0;3724
37;Merlin;Scissors;-1904.0;4168.0;19664.0;-2000.0;-550.0;293.0;3827
38;Merlin;Scissors;-2968.0;4252.0;19228.0;-2000.0;-492.0;120.0;3931
39;Merlin;Scissors;-2612.0;4164.0;20412.0;-2000.0;-888.0;204.0;4034
40;Merlin;Scissors;-3004.0;4136.0;20160.0;-2000.0;-325.0;214.0;4137
41;Merlin;Scissors;-2440.0;4212.0;19284.0;-2000.0;-362.0;236.0;4241
42;Merlin;Scissors;-2520.0;4236.0;19404.0;-2000.0;-543.0;294.0;4344
43;Merlin;Scissors;-2724.0;4340.0;19316.0;-1984.0;-1066.0;126.0;4448
44;Merlin;Scissors;-2804.0;4432.0;20648.0;-2000.0;-1161.0;125.0;4551
45;Merlin;Scissors;-3404.0;4180.0;19744.0;-2016.0;-478.0;60.0;4655
