id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Paper;-1440.0;752.0;19920.0;-1984.0;-463.0;-225.0;0
1;Merlin;Paper;-1624.0;860.0;19832.0;-1968.0;-555.0;-404.0;103
2;Merlin;Paper;-1632.0;1056.0;21464.0;-1936.0;-533.0;-334.0;207
3;Merlin;Paper;-1108.0;1064.0;21268.0;-1968.0;-45.0;-228.0;310
4;Merlin;Paper;-440.0;1036.0;19296.0;-1968.0;-362.0;-558.0;414
5;Merlin;Paper;-124.0;1140.0;20944.0;-1952.0;-444.0;-54.0;517
6;Merlin;Paper;-336.0;1344.0;20864.0;-1952.0;202.0;776.0;620
7;Merlin;Paper;28.0;1360.0;19680.0;-1952.0;-294.0;633.0;724
8;Merlin;Paper;700.0;1480.0;20548.0;-1968.0;44.0;457.0;827
9;Merlin;Paper;584.0;1820.0;21636.0;-1968.0;-453.0;437.0;931
10;Merlin;Paper;728.0;2020.0;20628.0;-2000.0;-1476.0;335.0;1034
11;Merlin;Paper;592.0;1908.0;20300.0;-1984.0;-1714.0;294.0;1137
12;Merlin;Paper;-212.0;2148.0;19716.0;-1952.0;-955.0;1271.0;1241
13;Merlin;Paper;-80.0;2432.0;21056.0;-1984.0;-1314.0;2432.0;1344
14;Merlin;Paper;-2276.0;2476.0;20536.0;-1968.0;-1477.0;5452.0;1448
15;Merlin;Paper;-4520.0;2204.0;19632.0;-1984.0;-2159.0;14186.0;1551
16;Merlin;Paper;-8000.0;3012.0;18984.0;-1968.0;-2772.0;19596.0;1655
17;Merlin;Paper;-10796.0;2096.0;15540.0;-1952.0;-2864.0;11384.0;1758
18;Merlin;Paper;-12628.0;2104.0;15172.0;-2000.0;-3783.0;5657.0;1861
19;Merlin;Paper;-11892.0;1876.0;13476.0;-1952.0;-3459.0;4501.0;1965
20;Merlin;Paper;-9892.0;1944.0;12796.0;-2000.0;-3260.0;4247.0;2068
21;Merlin;Paper;-13252.0;1988.0;12420.0;-1984.0;-3449.0;3047.0;2172
22;Merlin;Paper;-14484.0;1972.0;12244.0;-1968.0;-2735.0;1829.0;2275
23;Merlin;Paper;-14312.0;1876.0;11040.0;-1952.0;-2742.0;1534.0;2379
24;Merlin;Paper;-13500.0;1900.0;11832.0;-2000.0;-2047.0;2329.0;2483
25;Merlin;Paper;-13580.0;2176.0;11024.0;-1984.0;-2119.0;3795.0;2586
26;Merlin;Paper;-12984.0;2188.0;9756.0;-1968.0;-3415.0;761.0;2690
27;Merlin;Paper;-14592.0;2060.0;10208.0;-1936.0;-2218.0;279.0;2793
28;Merlin;Paper;-15500.0;2348.0;9792.0;-1984.0;-1774.0;-1382.0;2897
29;Merlin;Paper;-14012.0;2016.0;10904.0;-1968.0;-855.0;-3589.0;3000
30;Merlin;Paper;-12208.0;1548.0;11292.0;-1952.0;-1121.0;-3050.0;3104
