id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Stone;-20.0;2508.0;19656.0;-1840.0;-864.0;1221.0;0
1;Merlin;Stone;2152.0;2820.0;20432.0;-1808.0;-866.0;1543.0;104
2;Merlin;Stone;2860.0;3296.0;23100.0;-1840.0;-1570.0;1563.0;207
3;Merlin;Stone;1244.0;3328.0;24504.0;-1856.0;-3911.0;3041.0;310
4;Merlin;Stone;-3128.0;3636.0;23816.0;-1856.0;-5540.0;520.0;414
5;Merlin;Stone;-4128.0;2020.0;19492.0;-1840.0;-5865.0;1375.0;517
6;Merlin;Stone;-5480.0;1312.0;25096.0;-1840.0;-6696.0;2190.0;621
7;Merlin;Stone;-9184.0;348.0;24592.0;-1824.0;-8265.0;2746.0;724
8;Merlin;Stone;-11060.0;-836.0;20012.0;-1824.0;-8691.0;2182.0;828
9;Merlin;Stone;-6392.0;-2108.0;12820.0;-1808.0;-6688.0;-726.0;931
10;Merlin;Stone;-4052.0;-3896.0;11604.0;-1856.0;-2363.0;388.0;1034
11;Merlin;Stone;-240.0;-4484.0;15316.0;-1856.0;3454.0;665.0;1138
12;Merlin;Stone;2604.0;-3644.0;13008.0;-1824.0;5923.0;301.0;1241
13;Merlin;Stone;5416.0;-2456.0;15060.0;-1856.0;8404.0;2182.0;1345
14;Merlin;Stone;8248.0;-1192.0;22072.0;-1840.0;7499.0;860.0;1448
15;Merlin;Stone;4256.0;224.0;28396.0;-1840.0;6066.0;-978.0;1552
16;Merlin;Stone;1208.0;1292.0;22620.0;-1840.0;4591.0;346.0;1655
17;Merlin;Stone;1140.0;2180.0;22164.0;-1840.0;2226.0;866.0;1758
18;Merlin;Stone;320.0;2612.0;22080.0;-1840.0;1016.0;55.0;1862
19;Merlin;Stone;-1804.0;3016.0;20576.0;-1872.0;236.0;-78.0;1964
20;Merlin;Stone;-2748.0;3104.0;22008.0;-1840.0;-890.0;-230.0;2068
21;Merlin;Stone;-3980.0;2828.0;22080.0;-1840.0;-962.0;-45.0;2171
22;Merlin;Stone;-4940.0;2344.0;20592.0;-1840.0;-711.0;-166.0;2274
23;Merlin;Stone;-2828.0;2456.0;19628.0;-1840.0;-1062.0;-90.0;2378
24;Merlin;Stone;-1432.0;2360.0;20336.0;-1824.0;-1236.0;-57.0;2481
25;Merlin;Stone;-1036.0;2344.0;21964.0;-1856.0;-312.0;-926.0;2585
26;Merlin;Stone;-772.0;2228.0;21156.0;-1824.0;-483.0;-66.0;2688
27;Merlin;Stone;-276.0;2112.0;19456.0;-1824.0;-1085.0;-136.0;2792
