id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Stone;1084.0;2544.0;19968.0;-1888.0;-72.0;756.0;0
1;Merlin;Stone;1428.0;2728.0;20460.0;-1872.0;-415.0;1207.0;103
2;Merlin;Stone;6408.0;3772.0;21752.0;-1840.0;457.0;4568.0;206
3;Merlin;Stone;-636.0;3640.0;22460.0;-1872.0;-3174.0;3909.0;309
4;Merlin;Stone;-3664.0;3024.0;24236.0;-1872.0;-4722.0;2580.0;412
5;Merlin;Stone;-4320.0;2824.0;24684.0;-1888.0;-6288.0;784.0;516
6;Merlin;Stone;-6480.0;1748.0;23556.0;-1888.0;-7186.0;-259.0;619
7;Merlin;Stone;-13708.0;1076.0;23744.0;-1888.0;-10617.0;-1829.0;723
8;Merlin;Stone;-10436.0;268.0;17056.0;-1872.0;-9094.0;1705.0;827
9;Merlin;Stone;-5352.0;-1640.0;9580.0;-1872.0;-6477.0;728.0;931
10;Merlin;Stone;440.0;-3104.0;8016.0;-1872.0;753.0;928.0;1034
11;Merlin;Stone;8072.0;-2696.0;12604.0;-1872.0;6074.0;5337.0;1136
12;Merlin;Stone;6896.0;-2644.0;16268.0;-1872.0;6986.0;-1928.0;1240
13;Merlin;Stone;8252.0;-1432.0;19088.0;-1904.0;6636.0;190.0;1343
14;Merlin;Stone;5444.0;220.0;24348.0;-1904.0;6325.0;-1005.0;1447
15;Merlin;Stone;3644.0;740.0;24044.0;-1872.0;3473.0;745.0;1550
16;Merlin;Stone;1928.0;2328.0;23728.0;-1872.0;2641.0;2039.0;1653
17;Merlin;Stone;76.0;2940.0;19916.0;-1840.0;2274.0;2730.0;1757
18;Merlin;Stone;-792.0;2892.0;25252.0;-1904.0;714.0;4826.0;1860
19;Merlin;Stone;-1236.0;3148.0;20864.0;-1904.0;-838.0;-599.0;1964
20;Merlin;Stone;-1600.0;3076.0;21680.0;-1872.0;-431.0;187.0;2067
21;Merlin;Stone;-3388.0;2808.0;20908.0;-1840.0;-660.0;220.0;2171
22;Merlin;Stone;-3420.0;2612.0;20900.0;-1872.0;-358.0;674.0;2274
23;Merlin;Stone;-3532.0;2472.0;20000.0;-1872.0;-892.0;1631.0;2377
24;Merlin;Stone;-1576.0;2724.0;19912.0;-1872.0;-349.0;1142.0;2481
25;Merlin;Stone;96.0;2600.0;21240.0;-1872.0;-645.0;494.0;2584
26;Merlin;Stone;-156.0;2376.0;20064.0;-1856.0;-591.0;-364.0;2688
27;Merlin;Stone;-260.0;2604.0;20600.0;-1888.0;-576.0;-263.0;2791
28;Merlin;Stone;-2312.0;2584.0;20420.0;-1856.0;-1170.0;-151.0;2895
