id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Scissors;-456.0;-15804.0;5516.0;-1968.0;1342.0;750.0;0
1;Merlin;Scissors;-436.0;-15972.0;7140.0;-1968.0;1445.0;52.0;104
2;Merlin;Scissors;-708.0;-15612.0;6224.0;-1968.0;1938.0;-332.0;207
3;Merlin;Scissors;1312.0;-14812.0;6860.0;-2000.0;3249.0;-1985.0;311
4;Merlin;Scissors;768.0;-14576.0;9788.0;-2000.0;3147.0;2816.0;414
5;Merlin;Scissors;-1844.0;-13348.0;10120.0;-1984.0;5356.0;2742.0;518
6;Merlin;Scissors;-1496.0;-12664.0;12656.0;-1984.0;3137.0;-427.0;621
7;Merlin;Scissors;-3216.0;-11824.0;14484.0;-2000.0;4893.0;-589.0;724
8;Merlin;Scissors;-3716.0;-11236.0;14696.0;-2000.0;3662.0;-1506.0;828
9;Merlin;Scissors;-3632.0;-10468.0;14244.0;-1984.0;5727.0;158.0;931
10;Merlin;Scissors;-4408.0;-9668.0;19968.0;-1984.0;4557.0;254.0;1035
11;Merlin;Scissors;-3128.0;-8056.0;15384.0;-1984.0;4513.0;-365.0;1138
12;Merlin;Scissors;-2996.0;-7096.0;14004.0;-1952.0;5249.0;-1132.0;1242
13;Merlin;Scissors;-6040.0;-5636.0;21820.0;-2000.0;5720.0;-377.0;1345
14;Merlin;Scissors;-5060.0;-3984.0;17952.0;-2000.0;5332.0;-1214.0;1448
15;Merlin;Scissors;-2552.0;-2616.0;18324.0;-1968.0;5611.0;-854.0;1552
16;Merlin;Scissors;-4864.0;-1176.0;19880.0;-2000.0;6788.0;-444.0;1655
17;Merlin;Scissors;-4260.0;-116.0;21076.0;-1984.0;5430.0;-1220.0;1759
18;Merlin;Scissors;-2400.0;1212.0;20664.0;-1984.0;4482.0;-1811.0;1862
19;Merlin;Scissors;-2328.0;1880.0;23820.0;-1984.0;4211.0;-1206.0;1966
20;Merlin;Scissors;-2156.0;3180.0;19292.0;-1984.0;3071.0;-13.0;2069
21;Merlin;Scissors;-2780.0;3708.0;20896.0;-1984.0;3218.0;-436.0;2172
22;Merlin;Scissors;-3708.0;4328.0;21480.0;-1984.0;2133.0;-2098.0;2276
23;Merlin;Scissors;-1652.0;5040.0;21168.0;-2016.0;981.0;-860.0;2379
24;Merlin;Scissors;-1688.0;5064.0;19872.0;-1952.0;840.0;153.0;2483
25;Merlin;Scissors;-1504.0;5332.0;19928.0;-1984.0;1148.0;869.0;2586
26;Merlin;Scissors;-1604.0;5480.0;20440.0;-2016.0;680.0;-34.0;2689
27;Merlin;Scissors;-3264.0;5776.0;20288.0;-1952.0;292.0;-307.0;2793
28;Merlin;Scissors;-2884.0;5908.0;19340.0;-1984.0;185.0;83.0;2896
29;Merlin;Scissors;-1708.0;6068.0;18956.0;-1968.0;-4.0;134.0;3000
30;Merlin;Scissors;-972.0;6244.0;20076.0;-1968.0;-544.0;545.0;3103
31;Merlin;Scissors;-2600.0;6192.0;21092.0;-1952.0;-804.0;61.0;3207
32;Merlin;Scissors;-2752.0;6420.0;22836.0;-1920.0;-1407.0;833.0;3310
33;Merlin;Scissors;-2872.0;6308.0;23664.0;-1952.0;-2753.0;706.0;3413
34;Merlin;Scissors;-3336.0;6024.0;22024.0;-1968.0;-4972.0;936.0;3517
