id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Paper;3632.0;892.0;21380.0;-1904.0;-412.0;57.0;0
1;Merlin;Paper;3468.0;804.0;19072.0;-1872.0;-452.0;-536.0;104
2;Merlin;Paper;3836.0;972.0;20260.0;-1904.0;-398.0;115.0;207
3;Merlin;Paper;3400.0;824.0;21120.0;-1904.0;-271.0;272.0;311
4;Merlin;Paper;3236.0;976.0;20528.0;-1920.0;-462.0;-1246.0;414
5;Merlin;Paper;3892.0;912.0;19932.0;-1888.0;-986.0;-1810.0;517
6;Merlin;Paper;3692.0;624.0;20840.0;-1904.0;-277.0;-986.0;621
7;Merlin;Paper;4212.0;912.0;19964.0;-1936.0;215.0;440.0;724
8;Merlin;Paper;3596.0;1044.0;20228.0;-1952.0;-210.0;671.0;828
9;Merlin;Paper;3840.0;1024.0;21776.0;-1920.0;-217.0;419.0;931
10;Merlin;Paper;4176.0;1152.0;21020.0;-1888.0;-962.0;-2930.0;1035
11;Merlin;Paper;3508.0;732.0;19624.0;-1904.0;-658.0;-220.0;1138
12;Merlin;Paper;4416.0;644.0;21704.0;-1920.0;-699.0;2912.0;1241
13;Merlin;Paper;2120.0;808.0;21256.0;-1920.0;-1464.0;10314.0;1345
14;Merlin;Paper;-964.0;660.0;19280.0;-1904.0;-1278.0;8612.0;1448
15;Merlin;Paper;-2720.0;612.0;22060.0;-1888.0;-338.0;6557.0;1552
16;Merlin;Paper;-2864.0;612.0;20360.0;-1920.0;-561.0;5287.0;1655
17;Merlin;Paper;-3956.0;440.0;20164.0;-1904.0;-1076.0;4715.0;1759
18;Merlin;Paper;-6800.0;684.0;20692.0;-1888.0;-1612.0;4723.0;1862
19;Merlin;Paper;-6488.0;488.0;18564.0;-1904.0;-1213.0;5991.0;1965
20;Merlin;Paper;-7560.0;504.0;18896.0;-1904.0;-2031.0;7164.0;2069
21;Merlin;Paper;-7672.0;200.0;18692.0;-1888.0;-2082.0;5175.0;2173
22;Merlin;Paper;-8980.0;292.0;18492.0;-1904.0;-2332.0;4521.0;2277
23;Merlin;Paper;-9892.0;160.0;15308.0;-1920.0;-2745.0;3549.0;2380
24;Merlin;Paper;-10272.0;536.0;17388.0;-1920.0;-1984.0;3064.0;2484
25;Merlin;Paper;-12272.0;328.0;15188.0;-1904.0;-2814.0;4619.0;2587
26;Merlin;Paper;-11912.0;768.0;13556.0;-1920.0;-4020.0;2131.0;2690
27;Merlin;Paper;-14384.0;404.0;13288.0;-1904.0;-4046.0;2434.0;2794
28;Merlin;Paper;-13256.0;800.0;11608.0;-1920.0;-3180.0;1865.0;2897
29;Merlin;Paper;-13500.0;288.0;12808.0;-1936.0;-3853.0;2298.0;3001
30;Merlin;Paper;-12584.0;208.0;11700.0;-1920.0;-4315.0;2162.0;3104
31;Merlin;Paper;-14056.0;-56.0;10376.0;-1936.0;-3213.0;2228.0;3207
32;Merlin;Paper;-13068.0;32.0;12100.0;-1904.0;-2888.0;1868.0;3311
33;Merlin;Paper;-15192.0;272.0;13176.0;-1888.0;-3796.0;2125.0;3414
34;Merlin;Paper;-15404.0;536.0;11624.0;-1904.0;-4582.0;1377.0;3518
35;Merlin;Paper;-14700.0;404.0;8024.0;-1888.0;-5150.0;1192.0;3621
36;Merlin;Paper;-15180.0;448.0;7972.0;-1904.0;-4356.0;-45.0;3725
37;Merlin;Paper;-15336.0;204.0;8136.0;-1904.0;-3458.0;901.0;3828
38;Merlin;Paper;-14936.0;-120.0;7888.0;-1920.0;-3469.0;242.0;3932
39;Merlin;Paper;-16712.0;324.0;9180.0;-1920.0;-3510.0;160.0;4036
40;Merlin;Paper;-15492.0;112.0;9352.0;-1904.0;-3180.0;-515.0;4139
41;Merlin;Paper;-14768.0;-296.0;6396.0;-1904.0;-2584.0;-657.0;4243
42;Merlin;Paper;-14256.0;-204.0;7224.0;-1904.0;-468.0;-939.0;4346
43;Merlin;Paper;-16072.0;-300.0;6416.0;-1904.0;952.0;-1691.0;4450
