id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Paper;3908.0;124.0;20088.0;-1904.0;-238.0;1459.0;0
1;Merlin;Paper;3644.0;324.0;22252.0;-1920.0;146.0;740.0;103
2;Merlin;Paper;3836.0;412.0;19520.0;-1920.0;-302.0;429.0;207
3;Merlin;Paper;3928.0;376.0;20164.0;-1920.0;-819.0;138.0;310
4;Merlin;Paper;3524.0;436.0;20724.0;-1920.0;-890.0;-786.0;414
5;Merlin;Paper;3304.0;644.0;21556.0;-1920.0;-660.0;-797.0;517
6;Merlin;Paper;3388.0;396.0;20264.0;-1920.0;-582.0;-624.0;620
7;Merlin;Paper;3652.0;608.0;19952.0;-1888.0;-612.0;-126.0;724
8;Merlin;Paper;3808.0;540.0;20440.0;-1936.0;-721.0;-511.0;827
9;Merlin;Paper;4012.0;704.0;19428.0;-1904.0;-73.0;-209.0;931
10;Merlin;Paper;3572.0;496.0;21528.0;-1904.0;-1097.0;2733.0;1034
11;Merlin;Paper;3540.0;648.0;21432.0;-1904.0;-377.0;2441.0;1138
12;Merlin;Paper;3996.0;684.0;20144.0;-1904.0;-330.0;1027.0;1241
13;Merlin;Paper;3180.0;700.0;20800.0;-1888.0;-318.0;1720.0;1344
14;Merlin;Paper;992.0;1020.0;20332.0;-1920.0;506.0;5817.0;1448
15;Merlin;Paper;-156.0;976.0;20148.0;-1920.0;-213.0;7468.0;1551
16;Merlin;Paper;-444.0;940.0;19548.0;-1904.0;-232.0;6199.0;1655
17;Merlin;Paper;-3000.0;1248.0;20288.0;-1936.0;32.0;7253.0;1758
18;Merlin;Paper;-4100.0;1608.0;20416.0;-1904.0;-1324.0;4511.0;1862
19;Merlin;Paper;-6444.0;1856.0;19508.0;-1888.0;-1365.0;4223.0;1966
20;Merlin;Paper;-7780.0;1880.0;18592.0;-1904.0;-1657.0;4844.0;2069
21;Merlin;Paper;-6872.0;1884.0;17260.0;-1904.0;-1666.0;4416.0;2173
22;Merlin;Paper;-7696.0;1800.0;17724.0;-1920.0;-2549.0;3221.0;2276
23;Merlin;Paper;-8740.0;1756.0;18560.0;-1904.0;-2247.0;3421.0;2380
24;Merlin;Paper;-8612.0;1660.0;17448.0;-1920.0;-2516.0;3426.0;2483
25;Merlin;Paper;-9136.0;1736.0;16420.0;-1920.0;-3428.0;3319.0;2587
26;Merlin;Paper;-10864.0;1468.0;16356.0;-1904.0;-3185.0;2464.0;2690
27;Merlin;Paper;-10064.0;1472.0;14948.0;-1920.0;-3210.0;2198.0;2793
28;Merlin;Paper;-10868.0;1648.0;15432.0;-1936.0;-2951.0;1881.0;2897
29;Merlin;Paper;-11136.0;1624.0;16048.0;-1920.0;-3471.0;1579.0;3000
30;Merlin;Paper;-11044.0;1520.0;15896.0;-1904.0;-3366.0;1601.0;3104
31;Merlin;Paper;-10888.0;1324.0;16140.0;-1920.0;-3501.0;1556.0;3207
32;Merlin;Paper;-11356.0;1248.0;15108.0;-1904.0;-4332.0;872.0;3312
33;Merlin;Paper;-12308.0;1208.0;13356.0;-1888.0;-3598.0;1673.0;3415
34;Merlin;Paper;-12520.0;1304.0;12312.0;-1904.0;-3451.0;1843.0;3518
35;Merlin;Paper;-12320.0;1248.0;13312.0;-1952.0;-2553.0;1464.0;3622
36;Merlin;Paper;-12584.0;1388.0;13080.0;-1904.0;-2553.0;597.0;3725
37;Merlin;Paper;-12968.0;1388.0;15572.0;-1888.0;-2441.0;-112.0;3829
38;Merlin;Paper;-12872.0;1676.0;14448.0;-1920.0;-2360.0;-52.0;3932
39;Merlin;Paper;-13552.0;1860.0;12612.0;-1872.0;-1927.0;-112.0;4035
40;Merlin;Paper;-15124.0;2116.0;13092.0;-1920.0;-1380.0;-441.0;4139
41;Merlin;Paper;-13980.0;1744.0;13660.0;-1904.0;-422.0;-726.0;4242
42;Merlin;Paper;-12536.0;1580.0;12464.0;-1888.0;-408.0;-1463.0;4346
