id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;gerade;gerade;-15824.0;-1820.0;4572.0;-3312.0;-461.0;267.0;0
1;gerade;gerade;-15192.0;-1724.0;4540.0;-3296.0;-442.0;-1229.0;103
2;gerade;gerade;-15628.0;-1332.0;4172.0;-3296.0;-282.0;41.0;206
3;gerade;gerade;-15844.0;-1412.0;4000.0;-3312.0;-607.0;746.0;310
4;gerade;gerade;-15312.0;-1732.0;4776.0;-3344.0;-454.0;309.0;412
5;gerade;gerade;-16420.0;-1516.0;3452.0;-3328.0;-269.0;81.0;516
6;gerade;gerade;-15508.0;-1436.0;4064.0;-3328.0;-313.0;-15.0;619
7;gerade;gerade;-16128.0;-1128.0;4764.0;-3296.0;277.0;-306.0;722
8;gerade;gerade;-15996.0;-1136.0;4576.0;-3312.0;-1422.0;505.0;826
9;gerade;gerade;-16140.0;-1308.0;2832.0;-3328.0;-663.0;426.0;929
10;gerade;gerade;-15944.0;-1224.0;4244.0;-3328.0;-269.0;609.0;1033
11;gerade;gerade;-16204.0;-1184.0;2948.0;-3280.0;-1411.0;420.0;1136
12;gerade;gerade;-15440.0;-1404.0;3640.0;-3296.0;288.0;-209.0;1240
13;gerade;gerade;-16264.0;-1156.0;3328.0;-3296.0;-798.0;-389.0;1343
14;gerade;gerade;-15092.0;-1248.0;3220.0;-3280.0;-436.0;-32.0;1446
15;gerade;gerade;-15184.0;-1328.0;3520.0;-3296.0;-436.0;81.0;1550
16;gerade;gerade;-15712.0;-1040.0;3252.0;-3312.0;-911.0;692.0;1652
17;gerade;gerade;-15472.0;-1300.0;3392.0;-3312.0;-561.0;-170.0;1756
18;gerade;gerade;-15924.0;-956.0;3312.0;-3328.0;-717.0;207.0;1859
19;gerade;gerade;-15388.0;-1388.0;3332.0;-3328.0;-405.0;-204.0;1963
20;gerade;gerade;-15612.0;-1260.0;2800.0;-3312.0;-244.0;-176.0;2066
21;gerade;gerade;-15896.0;-524.0;3064.0;-3280.0;-652.0;-295.0;2169
22;gerade;gerade;-15928.0;1040.0;192.0;-3296.0;340.0;-2403.0;2273
23;gerade;gerade;-10628.0;-776.0;3224.0;-3328.0;1141.0;-360.0;2376
24;gerade;gerade;-14412.0;-108.0;4272.0;-3312.0;-775.0;-1206.0;2480
25;gerade;gerade;-10632.0;-2600.0;6516.0;-3312.0;-3204.0;-2366.0;2583
26;gerade;gerade;-23616.0;-640.0;-5820.0;-3296.0;-1639.0;-5528.0;2687
27;gerade;gerade;-14472.0;1460.0;3420.0;-3312.0;737.0;2734.0;2790
28;gerade;gerade;-15204.0;-1032.0;5580.0;-3344.0;-2213.0;13137.0;2893
29;gerade;gerade;-14924.0;172.0;1444.0;-3328.0;-2393.0;3769.0;2997
30;gerade;gerade;-17112.0;136.0;-1416.0;-3280.0;2999.0;4975.0;3100
31;gerade;gerade;-14628.0;476.0;2968.0;-3296.0;-4275.0;-19113.0;3203
32;gerade;gerade;-15652.0;584.0;3288.0;-3344.0;511.0;6026.0;3306
33;gerade;gerade;-13736.0;-96.0;2684.0;-3312.0;292.0;-5812.0;3409
34;gerade;gerade;-16188.0;-204.0;3604.0;-3312.0;-1818.0;-5718.0;3513
35;gerade;gerade;-18636.0;940.0;5152.0;-3296.0;-756.0;2609.0;3616
36;gerade;gerade;-15460.0;-196.0;3860.0;-3312.0;-450.0;633.0;3720
37;gerade;gerade;-16980.0;-220.0;3448.0;-3312.0;-786.0;-362.0;3823
38;gerade;gerade;-16212.0;-56.0;3016.0;-3312.0;-676.0;-350.0;3927
39;gerade;gerade;-15864.0;-196.0;3288.0;-3296.0;-685.0;-132.0;4030
40;gerade;gerade;-15740.0;-96.0;3216.0;-3296.0;-819.0;-141.0;4133
41;gerade;gerade;-15988.0;-32.0;3396.0;-3328.0;-570.0;-342.0;4237
42;gerade;gerade;-15844.0;-68.0;3276.0;-3296.0;-377.0;-16.0;4339
43;gerade;gerade;-15952.0;-88.0;3184.0;-3296.0;-630.0;-177.0;4443
44;gerade;gerade;-16016.0;-132.0;3712.0;-3312.0;-639.0;52.0;4546
45;gerade;gerade;-15832.0;-84.0;3288.0;-3312.0;-639.0;37.0;4650
46;gerade;gerade;-15800.0;-148.0;3416.0;-3312.0;-577.0;-11.0;4753
47;gerade;gerade;-15804.0;-128.0;3380.0;-3296.0;-629.0;9.0;4856
48;gerade;gerade;-15908.0;-76.0;3376.0;-3312.0;-601.0;59.0;4960
49;gerade;gerade;-15768.0;-8.0;3376.0;-3344.0;-580.0;-15.0;5062
50;gerade;gerade;-15800.0;-228.0;3404.0;-3344.0;-596.0;-41.0;5166
51;gerade;gerade;-15732.0;-252.0;3312.0;-3312.0;-613.0;-38.0;5269
52;gerade;gerade;-15904.0;-208.0;3296.0;-3344.0;-570.0;63.0;5372
53;gerade;gerade;-15864.0;-92.0;3296.0;-3312.0;-570.0;-131.0;5476
54;gerade;gerade;-15748.0;-144.0;3456.0;-3328.0;-595.0;-23.0;5579
55;gerade;gerade;-15840.0;-44.0;3264.0;-3296.0;-590.0;-18.0;5683
56;gerade;gerade;-15876.0;-120.0;3524.0;-3328.0;-610.0;-13.0;5786
57;gerade;gerade;-15900.0;-104.0;3412.0;-3296.0;-602.0;-70.0;5889
