accX_mean,accX_std,accX_min,accX_max,accY_mean,accY_std,accY_min,accY_max,accZ_mean,accZ_std,accZ_min,accZ_max,gyroX_mean,gyroX_std,gyroX_min,gyroX_max,gyroY_mean,gyroY_std,gyroY_min,gyroY_max,gyroZ_mean,gyroZ_std,gyroZ_min,gyroZ_max,label
-5062.325581395349,7078.6722582057655,-15124.0,4012.0,1192.3720930232557,548.370965125921,124.0,2116.0,17636.558139534885,3036.219526713517,12312.0,22252.0,-1910.3255813953488,15.668775334634953,-1952.0,-1872.0,-1596.3023255813953,1321.5257692546093,-4332.0,506.0,1873.8139534883721,2247.686358138646,-1463.0,7468.0,paper
-5365.209302325581,7111.352240836108,-14388.0,4812.0,1492.6511627906978,620.8595763218285,324.0,2244.0,17392.74418604651,3329.739043779223,11060.0,22052.0,-1907.3488372093022,16.94653177177902,-1936.0,-1872.0,-1637.2558139534883,1528.5925691710388,-4759.0,406.0,2095.813953488372,2534.4721649761236,-1283.0,10038.0,paper
-4102.553191489362,6860.080538279006,-14420.0,4604.0,1597.872340425532,569.9121830529941,628.0,2492.0,18062.212765957447,2886.3092495748465,12096.0,21608.0,-1904.6808510638298,19.15282517811466,-1952.0,-1856.0,-1515.2340425531916,1374.5543501166503,-4063.0,587.0,1838.2553191489362,1981.5950806937794,-759.0,6262.0,paper
-6447.8,8070.497379900098,-15388.0,6308.0,449.2,472.89285391307334,-572.0,1060.0,15978.4,4131.937478118095,9780.0,21536.0,-1904.0,16.603984693208666,-1936.0,-1872.0,-1758.25,1401.4280765869341,-3910.0,1004.0,2363.75,3560.7644436380406,-6105.0,15859.0,paper
-7040.090909090909,6282.6368920322575,-16152.0,2952.0,1117.7272727272727,420.6903718964133,16.0,1808.0,16551.272727272728,4409.058183266007,8032.0,22652.0,-1905.4545454545455,17.19039015677282,-1952.0,-1872.0,-1836.2045454545455,1372.4870919805685,-4442.0,337.0,1686.5681818181818,3121.7952378192645,-9146.0,10192.0,paper
-6375.565217391304,6083.95399081213,-17684.0,500.0,1419.9130434782608,286.86503416430344,928.0,1952.0,17307.391304347828,4314.9419745204295,6260.0,21848.0,-1910.2608695652175,16.68856532360965,-1936.0,-1872.0,-1385.9565217391305,957.8953771801952,-2911.0,1583.0,1451.5434782608695,2534.4925216918823,-6456.0,6638.0,paper
-6301.155555555555,7330.564439248848,-16112.0,3956.0,1685.6,380.77853262636916,868.0,2312.0,16405.066666666666,4523.323589011634,6848.0,21568.0,-1911.8222222222223,19.7797978766317,-1968.0,-1872.0,-1621.0444444444445,1519.3621112995168,-4817.0,712.0,2254.133333333333,2636.8470893715607,-2369.0,9481.0,paper
-4925.463414634146,8709.707813978495,-17608.0,6176.0,1080.9756097560976,615.6426109279993,76.0,2160.0,16551.219512195123,4349.013885423885,7304.0,22072.0,-1910.2439024390244,19.880619316063672,-1936.0,-1872.0,-1581.1463414634147,1972.8477838010667,-4568.0,4431.0,2211.731707317073,3449.6792823709734,-5669.0,9209.0,paper
-3135.3636363636365,8462.114176127012,-15468.0,7116.0,1986.4545454545455,456.5155925682365,1128.0,2796.0,17204.454545454544,3610.564160352973,8812.0,22008.0,-1912.7272727272727,19.352739889385575,-1952.0,-1872.0,-1090.3863636363637,1173.4627988457246,-3267.0,1035.0,2544.7045454545455,3172.3521357924988,-1137.0,10207.0,paper
-6596.0,7999.99474418432,-16712.0,4416.0,492.27272727272725,373.6406907050255,-300.0,1152.0,15786.636363636364,5251.119389371911,6396.0,22060.0,-1908.3636363636363,15.571427185999347,-1952.0,-1872.0,-1964.4318181818182,1575.0813105290829,-5150.0,952.0,2013.2954545454545,2913.7505964964657,-2930.0,10314.0,paper
-3368.1632653061224,9752.34009385042,-16592.0,9784.0,746.6122448979592,679.1507201500062,-948.0,1640.0,15509.30612244898,5224.988700960995,2348.0,21188.0,-1910.204081632653,19.271070278006462,-1952.0,-1872.0,-1612.3265306122448,1753.5033312837272,-4915.0,1586.0,2655.9591836734694,2860.9918877257683,-1905.0,11313.0,paper
